Control_Group_Score,Experimental_Group_Score,User_Engagement
0.5496714153011233,0.703059458799058,5
0.4861735698828815,0.484464523295496,8
0.5647688538100692,0.6575437190224147,7
0.6523029856408026,0.5380761541838632,8
0.4765846625276664,0.5672597193629048,5
0.4765863043050819,0.6047604266866917,4
0.6579212815507391,0.5880508948273441,9
0.5767434729152909,0.43238943585070644,1
0.4530525614065048,0.7381812021163316,5
0.5542560043585965,0.7134409218758897,4
0.4536582307187538,0.5853683506873869,7
0.4534270246429743,0.6934398626729084,3
0.5241962271566034,0.5602304838662024,10
0.3086719755342202,0.5017802556255515,2
0.3275082167486967,0.6054413014200575,8
0.4437712470759027,0.4831097141515279,5
0.39871688796655763,0.6609050623483324,4
0.5314247332595274,0.5297437250560257,8
0.4091975924478789,0.4399969120767021,3
0.3587696298664709,0.23727923041615223,5
0.6465648768921555,0.5872943681135407,1
0.47742236995134646,0.6320702489739147,8
0.5067528204687923,0.7337736378143325,1
0.3575251813786543,0.42649894357494056,9
0.44556172754748175,0.7009198813042604,8
0.5110922589709866,0.5512840810825153,1
0.3849006422577697,0.5938356745261907,8
0.5375698018345672,0.6005779577741475,10
0.4399361310081195,0.5989598359464193,9
0.4708306250206723,0.39669983384148244,8
0.4398293387770603,0.6715841007321317,1
0.6852278184508938,0.6834520758949563,7
0.4986502775262066,0.6956677313624415,1
0.39422890710440994,0.6487476120346354,10
0.5822544912103189,0.5792879192618572,2
0.37791563500289777,0.4531985485137367,9
0.5208863595004756,0.6448534994441266,6
0.30403298761202247,0.603854095348481,4
0.3671813951101569,0.599754921688015,2
0.5196861235869124,0.6440655477958509,7
0.573846657999541,0.5954888000547891,6
0.5171368281189971,0.5555981802700927,8
0.48843517176117596,0.48200286234231837,8
0.4698896304410711,0.5994145714191749,4
0.35214780096325726,0.7473369007231805,7
0.4280155791605291,0.4897355076718469,7
0.45393612290402124,0.7003129252204882,10
0.6057122226218916,0.6714525612186711,5
0.5343618289568461,0.4287893502092631,9
0.3236959844637266,0.6608520436744473,1
0.5324083969394795,0.6018132226905217,7
0.4614917719583683,0.5916547653832508,1
0.4323077999694041,0.7996214524294714,3
0.5611676288840868,0.694132277676459,2
0.6030999522495951,0.5071874976669366,5
0.5931280119116199,0.6639736740229097,9
0.41607824767773616,0.5083154995460956,8
0.46907876241487856,0.5125252435951198,6
0.5331263431403563,0.6160406389642159,10
0.5975545127122359,0.7173717396445303,9
0.452082576215471,0.4512736202170181,1
0.4814341023336183,0.5496210634843743,2
0.3893665025993972,0.7175834061636633,8
0.38037933759193293,0.5059169689057524,5
0.5812525822394198,0.6031401642293764,9
0.6356240028570823,0.5689340676261075,4
0.49279898784196663,0.7276537338471191,10
0.6003532897892024,0.6318844409189227,3
0.5361636025047634,0.5701282525802985,6
0.43548802453948754,0.5163398291147682,10
0.5361395605508414,0.8105071576644638,9
0.6538036566465969,0.5924241222270636,6
0.49641739608900487,0.5773711817355862,8
